Id,Label,Party
Sophie Rohonyi,Sophie Rohonyi,DéFI
François De Smet,François De Smet,DéFI
Raoul Hedebouw,Raoul Hedebouw,PVDA-PTB
Peter Mertens MP,Peter Mertens MP,PVDA-PTB
Sander Loones,Sander Loones,N-VA
Theo Francken MP,Theo Francken MP,N-VA
Sofie Merckx,Sofie Merckx,PVDA-PTB
Darya Safai MP,Darya Safai MP,N-VA
Nabil Boukili,Nabil Boukili,PVDA-PTB
Catherine Fonck,Catherine Fonck,Les Engagés
Patrick Prévot,Patrick Prévot,PS
Anja Vanrobaeys,Anja Vanrobaeys,Vooruit
Joris Vandenbroucke,Joris Vandenbroucke,Vooruit
Peter Buysrogge ,Peter Buysrogge ,N-VA
Ahmed Laaouej,Ahmed Laaouej,PS
Séverine de Laveleye,Séverine de Laveleye,Ecolo-Groen
Egbert Lachaert,Egbert Lachaert,Open Vld
Michael Freilich,Michael Freilich,N-VA
Kristien Van Vaerenbergh,Kristien Van Vaerenbergh,N-VA
Roberto D'Amico,Roberto D'Amico,PVDA-PTB
Nadia Moscufo,Nadia Moscufo,PVDA-PTB
Sigrid Goethals,Sigrid Goethals,N-VA
Tomas Roggeman,Tomas Roggeman,N-VA
kathleen depoorter,kathleen depoorter,N-VA
Ortwin Depoortere,Ortwin Depoortere,VB
Frieda Gijbels,Frieda Gijbels,N-VA
Robby De Caluwé,Robby De Caluwé,Open Vld
Barbara Pas,Barbara Pas,VB
Ben Achour Malik,Ben Achour Malik,PS
Dominiek Sneppe,Dominiek Sneppe,VB
Marie Christine Marghem,Marie Christine Marghem,MR
Georges Dallemagne,Georges Dallemagne,Les Engagés
Denis Ducarme,Denis Ducarme,MR
Joris De Vriendt,Joris De Vriendt,VB
Frank Troosters,Frank Troosters,VB
Gilles Vanden Burre,Gilles Vanden Burre,Ecolo-Groen
Maria Vindevoghel,Maria Vindevoghel,PVDA-PTB
Katleen Bury,Katleen Bury,VB
Samuel Cogolati,Samuel Cogolati,Ecolo-Groen
Sarah Schlitz,Sarah Schlitz,Ecolo-Groen
Wouter Beke,Wouter Beke,cd&v
Koen Geens,Koen Geens,cd&v
Mieke Claes,Mieke Claes,N-VA
Peter De Roover,Peter De Roover,N-VA
Jef Van den Bergh ,Jef Van den Bergh ,cd&v
Annick Ponthier,Annick Ponthier,VB
Eva Platteau,Eva Platteau,Ecolo-Groen
Piedboeuf Benoît,Piedboeuf Benoît,MR
Sophie Wilmès,Sophie Wilmès,MR
Valerie Van Peel,Valerie Van Peel,N-VA
Marco Van Hees,Marco Van Hees,PVDA-PTB
Maxime PREVOT,Maxime PREVOT,Les Engagés
Sophie De Wit,Sophie De Wit,N-VA
Melissa Depraetere,Melissa Depraetere,Vooruit
Servais Verherstraeten,Servais Verherstraeten,cd&v
Katja Gabriëls,Katja Gabriëls,Open Vld
Daniel Bacquelaine,Daniel Bacquelaine,MR
Mathieu Bihet,Mathieu Bihet,MR
Hans Verreyt,Hans Verreyt,VB
Tim Vandenput,Tim Vandenput,Open Vld
Khalil Aouasti,Khalil Aouasti,PS
Greet Daems,Greet Daems,PVDA-PTB
Tania De Jonge,Tania De Jonge,Open Vld
Vincent Van Quickenborne,Vincent Van Quickenborne,Open Vld
Nathalie Muylle,Nathalie Muylle,cd&v
Franky Demon,Franky Demon,cd&v
Maggie De Block,Maggie De Block,Open Vld
Kris Verduyckt,Kris Verduyckt,Vooruit
Kristof Calvo,Kristof Calvo,Ecolo-Groen
Guillaume Defossé,Guillaume Defossé,Ecolo-Groen
Ben Segers,Ben Segers,Vooruit
dieter van besien,dieter van besien,Ecolo-Groen
Els Van Hoof,Els Van Hoof,cd&v
Wouter De Vriendt,Wouter De Vriendt,Ecolo-Groen
Jean Marie Dedecker,Jean Marie Dedecker,ONAFH
Hervé Rigot,Hervé Rigot,PS
Philippe Goffin,Philippe Goffin,MR
Thémont Sophie,Thémont Sophie,PS
Wouter Vermeersch,Wouter Vermeersch,VB
Reccino Van Lommel,Reccino Van Lommel,VB
Nahima Lanjri,Nahima Lanjri,cd&v
Christophe Lacroix,Christophe Lacroix,PS
Eliane Tillieux,Eliane Tillieux,PS
Marijke Dillen,Marijke Dillen,VB
Wim Van der Donckt,Wim Van der Donckt,N-VA
Pieter De Spiegeleer,Pieter De Spiegeleer,VB
Leslie Leoni,Leslie Leoni,PS
Albert Vicaire,Albert Vicaire,Ecolo-Groen
Yngvild Ingels,Yngvild Ingels,N-VA
Vicky Reynaert,Vicky Reynaert,Vooruit
Claire Hugon,Claire Hugon,Ecolo-Groen
Vanessa Matz,Vanessa Matz,Les Engagés
NawalFarih,NawalFarih,cd&v
André Flahaut,André Flahaut,PS
Gaby Colebunders,Gaby Colebunders,PVDA-PTB
Cécile Cornet,Cécile Cornet,Ecolo-Groen
Kim Buyst,Kim Buyst,Ecolo-Groen
